,text,target
800000,I LOVE @Health4UandPets u guys r the best!! ,1
800001,im meeting up with one of my besties tonight! Cant wait!!  - GIRL TALK!!,1
800002,"@DaRealSunisaKim Thanks for the Twitter add, Sunisa! I got to meet you once at a HIN show here in the DC area and you were a sweetheart. ",1
800003,"Being sick can be really cheap when it hurts too much to eat real food  Plus, your friends make you soup",1
800004,@LovesBrooklyn2 he has that effect on everyone ,1
800005,@ProductOfFear You can tell him that I just burst out laughing really loud because of that  Thanks for making me come out of my sulk!,1
800006,@r_keith_hill Thans for your response. Ihad already find this answer ,1
800007,"@KeepinUpWKris I am so jealous, hope you had a great time in vegas! how did you like the ACM's?! LOVE YOUR SHOW!! ",1
800008,"@tommcfly ah, congrats mr fletcher for finally joining twitter ",1
800009,@e4VoIP I RESPONDED  Stupid cat is helping me type. Forgive errors ,1
800010,crazy day of school. there for 10 hours straiiight. about to watch the hills. @spencerpratt told me too! ha. happy birthday JB! ,1
800011,@naughtyhaughty HOW DID I FORGET ABOUT TWO AND A HALF MEN?!?!? I LOVE THAT SHOW!!! ,1
800012,"@nileyjileyluver Haha, don't worry! You'll get the hang of it! ",1
800013,"@soundwav2010 At least I won't be the only one feeling lost! This may cause me many later than usual nights, already addicting ",1
800014,@LutheranLucciol Make sure you DM me if you post a link to that video! &lt;LOL&gt;So I don't miss it   Better get permission and blessing first?,1
800015,Just added tweetie to my new iPhone ,1
800016,@michellardi i really don't know. i think its Globe!  yeah! sana gumaling na ko para alam ko na din kung makakasama ako! ),1
800017,@nicolerichie: your picture is very sweet ,1
800018,"Catching Up on Emails, RSS and Random BACN. Then I'm cutting out early tonight (11:30PM) to have Dinner with @lauraw ",1
800019,"Dancing around the room in Pjs, jamming to my ipod. Getting dizzy. Well twitter, you asked! ",1
800020,Didn't place in the Peeps contest but thanks for voting anyways. ,1
800021,Going to bed so goodnight everyone  and sweet dreams  http://twitpic.com/2y2e0,1
800022,@LittleLumen walking over to put the deposit down tomorrow ,1
800023,"is now followinq @DAChesterFrench , you shud do tha same ",1
800024,@LordPov Are you meant to add on the back of that &quot;twittering from a toilet cubicle somewhere&quot;? ,1
800025,Aw i'm holding my new puppy. Well He's not mine but He's a cutie. ,1
800026,@iJohn kitteh is sleepin on my crotch which proves she likes me more ,1
800027,@DramaBeats agreed ,1
800028,reaching amritsar in an hour and (if i find a bus) should be at wagah border by 2pm  - http://bkite.com/06fuJ,1
800029,@ALBinLA.  I was just thinking about you tonight!  You have to let me be the first to interview you're a famous super star ,1
800030,happy to spend time with the family. ,1
800031,finally going to bed!  so tired. Was gonna watch The Hills but didnt =/,1
800032,so effing tired of my throat hurting.... ooooohh... i just got a crazy craving for a pina colada/banana slushie!!!! ,1
800033,@deon upload di indowebster dong banggggg ,1
800034,@wisdomous you're welcome. glad you enjoyed it. ,1
800035,@hawaii808shellz hAhAHA!! omG! we wer bOth laughiN off d hOOk!  cuz das hOW we roLLL...ryt sheLdawg?,1
800036,@SickWithThePen awww pookie feel better. I'll pray for you...and BAG the nurse up ,1
800037,YAY! found a new cuddle buddy ,1
800038,I think I met my first &quot;snob&quot; on twitter tonight. Too bad. Life goes on! ,1
800039,Across the Universe. Sleep. Rehearsal tomorrow. ,1
800040,"@annabellee dry sweet potato, huh? ",1
800041,"@JonathanRKnight Hi Jon! Great to hear from you! See you on the cruise, I cannot wait! Hope all is well on the Knight bus!  You are loved!",1
800042,having a long conversation with mom on phone ,1
800043,@suitelifeofkell yayyy! lol. i just requested herrr. what did she say? ,1
800044,Practicing lines/mannerisms/voices for upcoming feature shoot.  Probably driving Brock crazy.  ,1
800045,Going to go and read new moon for the 3rd time  I cant get enough of twilight series ,1
800046,today is our two month anniversary!!! i love you sooooooo much Diana. omg you dont even know  TAR HEELS WON THE NCAA WOOT!!!!!,1
800047,I am bored ,1
800048,@stevecla it is a wallpaper with Red Square I was asking for ,1
800049,@r_keith_hill Thanks for your response. Ihad already find this answer ,1
800050,@Pope_Mello Well yeah! I only noticed cuz i'm BB too. ,1
800051,Just tryna get inspired thats all ,1
800052,@KourtneyKardash Can't get up early enough!!!  Night workouts are much better. ,1
800053,"@ladygaga Can't wait to see ur hot ass in Austin! woot woot!!! annnd love the bob with purple, i went the royal color way as well ",1
800054,"@QuotableBuffy I got a bunch of Buffy songs too! One of my faves is &quot;Vivian&quot; by Nerf Herder, when Faith met Spike in Buffy's body. ",1
800055,#Devunity Wallpaper  Check this out !   --&gt;    http://twitpic.com/2y2e2,1
800056,"Morning Tweetland, a long day ahead! Hope everyone has a great day  ",1
800057,   uploading pictures on friendster ,1
800058,@ash_CT Aw dont you love that  I love for those days! Thanks about the pic ;-p,1
800059,noodlebox with amanda tonight ,1
800060,"@una_avion2010 Sorrry, I'm doing like 29823782 different things. Kevin Jonas' Girlfriend ",1
800061,@fuzeb they are so serious too while singing like.. whoa  hehe lsd maybe? j/k lolol,1
800062,loving life... and loving you ,1
800063,@ApothecaryJeri  I love Sicilians best damn pizza on the planet [says I] ,1
800064,loves chocolate milk  and that is GF YEAH..,1
800065,Going to Sutter Creek tomorrow to tour an old Mine ,1
800066,"@bodycoach I'll look into that cho, I personally like strawberry but I'm going to become coach soon ",1
800067,"@little__fish guess where i live. the other side of the earth  east mesa, losiento",1
800068,@paula_paige3489 so apart from the sore... how was the tryouts? ,1
800069,failed physics TEST... what a homo. keeen for the holidays (2 days to go) ,1
800070,"Just observed the update look of #Alexa website, http://tinyurl.com/c48gzf , looks great, seems Alexa is improving ",1
800071,@leiabox so what can you tell us about it? I'm totally geeking out right now ,1
800072,"@theragingocean BonJour Spacecowboy,I wish I was either of it .I work with Kids, can go out whenever I want and go wherever I want to ",1
800073,@Rebecca1158 goodnight. ,1
800074,My brother is sick too lol. Quite weird ,1
800075,@drdrew *gives a hug and a cookie* Hope you feel better! ,1
800076,@jonathanRKnight Hey Jon! It's real and I hope you take care of yourself...we don't want you to get too rundown.  ((Hugs)),1
800077,"Just wrote on a toilet wall... but only to correct poor spelling. And in highlighter, so it will wash off. HARDCORE ",1
800078,had a good tech meeting at clubZone - dinner was sushi ,1
800079,@mattgalloway Thanks for the hook up with @CarlyRush and suggesting me again bro! you rock! ,1
800080,@jeffswarens depends on which version they thought you  the one I know doesn't go like that ;),1
800081,@Speak2Ashley hand is still pretty weak i cant like punch anyone out yet or turn knobs but it doesnt hurt much ,1
800082,@Honey3223 Lurkers now that was interesting ,1
800083,@saravananp mine is B North. Still need to decide 'aaru hithavaru ninage ee moovaroLage' to vote ,1
800084,@trstfndbby um I bought my shit from the Koreans its OACH  highest quality out there baby  I paid an extra 3.50 2 get a real tag sewed in,1
800085,eating ice-cream with chocolate topping ,1
800086,@iamdiddy your telling me.. just finished doing 200 crunches!  step it up Diddy ! LETS GO!,1
800087,@its_yvonne daaang i didn't know it was possible to talk that long! what'd you guys talk about ,1
800088,@LaurUy West.  Mostly San Jose and San Francisco.,1
800089,"Nikki is off working her ass off on a bike, trying to recover from her knee injury.  (Good for her. ",1
800090,@marymayblood I would love to come help unpack   Let me know where I need to be Sat afternoon!,1
800091,shenagians!  my team is awesome&lt;3,1
800092,listening to some music and just chilling....I'll probably regret not getting work done...but till then i'm just gonna kick back ,1
800093,I am doing a study of Think &amp; Grow Rich - Wow - it's amazing how timeless the law of attraction is! So now we're on our 6 step program! ,1
800094,@BittenbyBooks Oh good!  I'm glad you're feeling better!   I've been really good!  It'll be a crazy week though... In a good way! ,1
800095,21 Days till chris comes home and 67 days till summer ,1
800096,"@davidgideon Yeah, those were the days  - no, it's now around 1.47ish...",1
800097,@therealjspace am I the first one to tell you you tweet the most while drinking! LOL. ,1
800098,@its_anne Kay thanks. ,1
800099,Goodnight ,1
800100,I am determined to get back into baseball -- it's been 5 years since I've really watched the sport. Anyone interested in going to a game? ,1
800101,"@beycah Good for you Becca, have a good sleep. ",1
800102,@MissNappyBoy and ur home is where? ohhh i nkow lexington ky rite next to me ,1
800103,Just seen the preview for the movie &quot;Obsessed&quot; w/ Beyonce. Wow one crazy broad in that movie &amp; Beyonce seems to go nuts in it too! ,1
800104,Easy Rider till I fall asleep ,1
800105,"@miketomalaris I'm very, very, very excited about the live broadcast of Paris-Roubaix. ",1
800106,"just had a real good moment. i missssssssss him so much, ",1
800107,@belliestobabies I have two too. I just don't know how people survive winter without jungle gyms at home ,1
800108,@jaredleto Just started to work. But it's the last one before holidayholiday!! ,1
800109,Watchin Greek then off to Knighty Knight!! ,1
800110,i am working on my media room design and i love love love my client profile ,1
800111,@Greeks05 its pretty lame..hahaha but yay i get to stalk your sexy ass on here now ,1
800112,"@Lou911 Aww, thanks ",1
800113,Another good day  nitey nite everyone! First day of school tomorrow!!! Ahh I'm kinda nervous yet excited...til tomorrow!,1
800114,thinking and planning ,1
800115,"Good enough.. time to go sleep off whatever I can, be happier tomorrow ? here's Hopin.. go check my Fb. for what is in store for me now. ",1
800116,"@missvic what do you mean, I do those things now and I'm OLD! ",1
800117,@jimmyeatworld been listening to that all morning  http://www.deezer.com/track/885843,1
800118,@UrbanThai  and you have me to thank for that ,1
800119,"@PamFR Thanks Pam... glad you enjoyed it. Yes, life is short, it's *now*. No need to struggle... just make better choices every day. ",1
800120,"@JonathanRKnight hmm you have a lot to say tonight! That's great!  Of course, here I am up late reading it. haha",1
800121,"@guykawasaki congrats on 100,000 followers. Wow almost 4 times of what I have ",1
800122,@LarryCarroll ARE WE GOING TO BE GETTING ANY NM UPDATES THIS TIME AROUND? I'm not really screaming. Just wondering. Thanks! ,1
800123,@suitelifeofkell that's freakin' cooool   i love twitter .haha,1
800124,@I3renda maybe. there's nothing wrong with being caring. but try not to care too much. ,1
800125,why does Brissa not even know she has a twitter? -Lauren ,1
800126,@jbrotherlove I thought it was a great love story ,1
800127,"@enbaldarlingg No, that's just the mirror you're looking in. ",1
800128,@amandahesser thanks!  i couldn't have done it without you  ,1
800129,"wow that was neat, thanks God! OVERITNOW&lt;3  i apologize for sharing my spiritual moment with the general public of Twitter ",1
800130,... 31 days until I leave for Ontario!! ,1
800131,Just spoke with my fam in #Japan via #Skype! Love to see my little 16-mo-old nephew growing! ,1
800132,@LissyM ahh i only just saw you'd written that where does it tell you that someones spoken to you? this sucks but mcfly got it haha loser ,1
800133,@KaciMaureen holy laundry woman! ,1
800134,"@iamdiddy I hate it too, but I just got back from the trainer. Go! ",1
800135,@markhoppus lol youï¿½re so fucking funny ,1
800136,"working on setting up my ipod touch, which as of today is officially mine!! ",1
800137,@nikhilnarayanan saw the tvc yesterday.. worked for me ,1
800138,Jon could totally say Mannies and Peddies and I would shut my fat face about it.  ,1
800139,"@magopus Hahaha! Well if they ever run out of ideas, I'm nominating you to come up with some good ones. ",1
800140,A friend feels like a beer on a Monday night. That's never good. But beer is always good. Always. ,1
800141,"@hopeinhell One usually follows the other, no? ",1
800142,"@special72 Thanks, Special 72!  ",1
800143,"Good luck for Lauren and the rest of the cast of TBS, can't wait for something to leak ",1
800144,"Shoot For The Moon! Even if you miss, you'll land among the stars. ",1
800145,"@JohnHays hmm, that I don't agree with entirely because I am most creative &amp; vibrant @ night for some reason...but I need 2 sleep too ",1
800146,@izzakizza nada just tryna holla holla.   hows the mixtape coming up?,1
800147,@aussie_ali  yep it makes it so much easier to get points across in 140 ,1
800148,"@snarkattack  The freezer-worthy @amoir has already given it her scholarly attention, but I suppose another set of eyes could hurt not.",1
800149,http://twitpic.com/2y2jf - my cupcakes ,1
800150,"@purrplexa And its a wonderful thing!  I'm all in favor of using the entire English language (shit, I use #expletives too, I think) ",1
800151,@mynameisgerard haha! i'm not saying u should try it.. but maybe u should ,1
800152,"back from school, long walk! its flippin cold outside  2 days ago it was sunny, next day raining, and today snowing!",1
800153,@sisterpatterson I just ate raw cookie dough out of a tub and now to bed. We must be kindred spirits ,1
800154,"@JonathanRKnight : agreed. internet? random. but i like random. watched dirty dancing, great movie, i thought of your song..  nighty night",1
800155,@blooms5887 Just use Tweetdeck and you can update facebook and twitter at the same time ,1
800156,"@firestoned - Dude, stars are always awesome.    Surprised to see you tweeting.",1
800157,@nsastrasasmita k. i'll try to figure it out. i'm gonna go to bed. night night  ,1
800158,amazing night with llama and malcolm and megan&lt;---fuck the theatre! ,1
800159,@kayotae Just had a martini myself. ,1
800160,city all day soo happy to be home. school in the morning ,1
800161,My spring break= watching moviess all day everyday for a week ,1
800162,@PushPlayNICK &quot;Grandpa wants an ice chest and some beef.&quot;  George Lopez rulesss!,1
800163,@KatiePorrello thank you Katie! heading to the club as we speak! you have yourself a stellar night as well... take it easy homey!! ,1
800164,"http://www.youtube.com/watch?v=cLe9pJSRas0 Where have all the flowers gone, Peter Paul &amp; Mary  My fav, def.",1
800165,shhhhhhhhhh....time to watch the Hills. ,1
800166,"since posting the 2 new photos on my website with the kids my hit count went up...way, way, way up. love to china for 5,000 views alone. ",1
800167,@JonathanRKnight Oh its real Jon!  We all r so excited that u and the guys came back 4 us.  We appreciate all you put out there!  ,1
800168,@LonelyBob Thank you! Am at home pretty much everywhere. Provided I have broadband ...kiddin' ,1
800169,Callin it a night! I always have the best sleep after a good workout!! ,1
800170,@Infinitarchitek Feels pretty good doesn't it? ,1
800171,@stee322 but you did go to hash bash anyway.. ,1
800172,"@loltothepower correction, i GOT a badass fringe. ",1
800173,"@procoder hmmm, sure sure  so what r u upto ? hows the day for u?",1
800174,@ninasplayground I agree.  My kids got &quot;Who am I&quot; 4 Christmas. It's bn fun but I caught my 4 yrold cheating by looking at reflection in TV,1
800175,My hair is blue. ,1
800176,@wendy_bowser Thank you for the kind words!  I appreciate it.  Have a great night ,1
800177,stressing over this math test...uhhh....2 days till spring break!!!! ,1
800178,"@MintCool uh, because we really need each other, plus, you'd be my designated driver on PCH ",1
800179,@EMPRESSYEN WHATCHA CHUCKLIN BOUT MS.YEN ,1
800180,@ijustine the gym is an awesome place! work it out ,1
800181,@augustography hmmm think we need to get you climbing up hills .. you'll be really sining then ,1
800182,Just won 20$ on unc game ,1
800183,Really tired. Going to prepare for bed. G'night! ,1
800184,@keyannaaa the new story of your life will include magic fountain with me ,1
800185,"Im getting nervous that this trip tomorrow may be a little boring. Haha oh well, i always have my trusty ipod and my books of course  lol",1
800186,should be going to bed... maybe i'll do that... but i'm thinking I'll put on Anastasia on my laptop as i fall asleep ,1
800187,@ijustine http://twitpic.com/1ff65 - I love ur top ,1
800188,"still buzzing from SIETAR... thanks to @pattidigh for pushing the old boundaries - boy, someone could make money off a twitter manual... ",1
800189,"@yoshigi I have terrible back and neck aches too... Get a good chair, that will help.  I am waiting for my &quot;SWOPPER&quot; to arrive. ",1
800190,"@juneaurock Hellz yeah, definitely downloading. Thanks ",1
800191,http://twitpic.com/2y2jz - we are so stinkin cute ,1
800192,@Lyndeeezy hahah not yet! but soon. very soon ,1
800193,"Very happy with my new blog design - nice to see recent post and popular posts listed together, and it looks great! ",1
800194,@michaelgrainger we have much more than that in common my friend!! ,1
800195,@ben_mayer better be. I don't wanna have to come find u and save the dog. But I would!  I'm all 4 the animals . Call off the twit police,1
800196,"@klaris nilagyan mo ng knorr seasoning mix ulit ung pancakes mo?! hehehe. teka, heaven and eggs ba to? ",1
800197,@Westneyrhindxx hello westney  what are you doing ?? x,1
800198,@WhereisKevinn well my night seems pretty boring in comparison to the strokes you've experienced tonight ,1
800199,@jephjacques I love the way you draw giraffe eyelashes. ,1
800200,@SwitchItNow ahhh shiner Bock in Austin YES! thanks for the Twitter @reply so I can relive too ,1
800201,@holytshirt Glad to read it! ,1
800202,spent the evening outside in the beautiful warm weather. finally feels like spring ,1
800203,pullin an all nighter wit my bffl madison ,1
800204,@AttractMode Thanks for putting on such a great event. Can't wait for the inevitable sequels! ,1
800205,"I don't know why I still find this hilarious after hearing it like 200 times in a row, but I doooo  ? http://blip.fm/~3x8ok",1
800206,@thenub you are too ,1
800207,@jimmycarr that big oaf can play piano? ,1
800208,Bryon is my tea bitch ,1
800209,"@mattbraga Oh, they can stay. You on the other hand... ",1
800210,I am gonna help my mom get a twitter ,1
800211,@lavsmohan...... Yup!! saw the entire match....reached office late.. ,1
800212,"going to bed. My bb isn't working &amp; I'm bored.  Night all. Love me harder tomorrow, than you did today. Peace, Prayers, &amp; Blessings.",1
800213,@DEEJAY_BOOGIE ya we did trying to beat traffic but ya hope to be back soon ,1
800214,"India wins a test series in New Zealand after 41 years! If it wasnt for rain on the final day, India would have won the third test too ",1
800215,@ashvala Was driving in Old madras road on my bike!! There is no concept called parking on the side ,1
800216,@upstatement can I apply to be in your class too? ,1
800217,is reading manga  http://plurk.com/p/mzp1e,1
800218,@BradmanTV Thanks....it seemed the right moment. I love your show.  Your songs bring me joy.,1
800219,@Adri_Mane ROflmao... niqqa please. you ackin' a fool now. ,1
800220,@comeagainjen http://twitpic.com/2y2lx - http://www.youtube.com/watch?v=zoGfqvh2ME8 ,1
800221,"@vjl also, your website seems to be down, FYI. pity, I wanted to check it out  sure you knew that though.",1
800222,@LindzNicole so let's make it right! ,1
800223,"@Lexi_83 We.... went professional in October 2008, we've just not update any of our websites or anything until yesterday ",1
800224,@rhonda_brown thanks for the tip on Sam's Club! ,1
800225,@KourtneyKardash yep Mornings are the Best! nighttime is chill time ,1
800226,@pocketfulofme yay!!! hehe TWINS ,1
800227,@jolilore Thank you ,1
800228,"&quot;City of Ember&quot; was AWESOME!!! SO have to finish the book and read the next one (ones?) now.  Time for bed possibly? Who knows, really. XD",1
800229,"OMG, I would have died!!! actually no, I take that back...I keep an updated version on my X:drive so it's all good ",1
800230,@trugiaz You and i mate! ,1
800231, just watched the movie Wanted... it was pretty darn good.,1
800232,just got home from Neil's. watched Nick &amp; Nora's Playlist... pretty funny  ,1
800233,"@theexclamation ah yes, twitter seems to be the perfect venue for whining and wasting time.  now that's my idea of fun ",1
800234,@donniewahlberg hell yeah! there's the effin man! ,1
800235,@roshnimo Dont be lazy............try a few out.... tools are to make life easy for lazy people ,1
800236,"@aiduong Oh goodness, I didn't know you could message friends on here! Hello Ai ",1
800237,Thinks everyone needs to go buy Tina Parol's song Who's Got Your Money on iTunes ... NOW! ,1
800238,can't wait for vegas ,1
800239,@theDebbyRyan Hey Debby ,1
800240,One sixty six in bowling. Holy shit lol ,1
800241,"dear dbq, you were a pain in the asssss. i'm glad i'm DONE with you! ",1
800242,and now off to bed after an amazing night chatting with a pretty amazing guy  ( you know who you are),1
800243,"@lhawthorn What a coincidence! I was just stalking your Twitter feed and the GSoC news. ;) I'm doing great, thanks. How about you? ",1
800244,"has discovered that she loves easter crafts, eggs, hot cross buns... feel like watching the prince of egypt to aid my easter meditations ",1
800245,"Didn't get my nap before, thinking I really need one now. Be back later, twitterpeeps. ",1
800246,Trying to figure out a way to pay it forward ,1
800247,oh oh oh!!! gonna go buy Twilight on DVD today  I have to extend my overdraft for the 2nd time in as many weeks so I may aswell!!,1
800248,my very first twitter  awww,1
800249,@SimonBotes glad you like ,1
800250,"@lightblue_82 woo, you won't regret it. ",1
800251,@theaptour thanks so much ,1
800252, Please?: http://eluts.com/frontstore/Item/item_zoom.asp?item_num=3418&amp;catalog_num=3&amp;mart_id=lutsdoll&amp;level=yes&amp;mother_catalog_num=554,1
800253,@SJS86 haha i saw that one the other day. sad. i'm entirely too addicted to that site now. endless laughs ,1
800254,@lolly2420 this is nuts! thanks  I am dying over heah!,1
800255,"@markhoppus hey mark, i want to know if the song &quot;Life's So Boring&quot; is really blink 182 , please tell me  doubt been on my head for years",1
800256,"@Kelly_N_Va by Jordan, I think he's got it!  ",1
800257,"up and running, London calling ",1
800258,"What A Day  I Just Loved It. Sun, Food And My Girls  Cannot Be Beaten. Eyyy! I Bused It Home Tooo Hahaa. Have An Ace Time Darl.  xxxx",1
800259,just got home from school (: meant to be getting my hair cut .. but i cbf. lol dancing soon ,1
800260,"Sleeeeeeeeeep, then an interview tomorrow! Wish me luck ",1
800261,Awwh babs... you look so sad underneith that shop entrance of &quot;Yesterday's Musik&quot;  O-: I like the look of the new transformer movie ,1
800262,@lauredhel I just friended you on LJ ,1
800263,eating ice cream to reduce the heat ,1
800264,wow san diego is so beautiful. even more so now that we won  but whats a good game without a good fight(;,1
800265,@epistemographer @digitalhumanist Doing a disciplinary PhD with the support/structure of a New Media program like that sounds heavenly ,1
800266,"must sleep, big day tomorrow. two tests AND class registration for next sem. ahh! goodnight, twitterers ",1
800267,"@claire_brewer I've seen one of those aisles in Borders in Oxford. They're... well, tragic ",1
800268,@thornbek Erin Esurance is so hot. Carry on ,1
800269,@Boobookittifukk not there yet. And i beleive so  red carpet sighting i hope.,1
800270,the cars in Fast and Furious get me excited ,1
800271,@comeagainjen Jennifer ,1
800272,@betzitall Wall-E is a great battle for stress.   Yay for staying up all night and doing homework together!,1
800273,"It's been a while since i have watched the Cosby Show, i forgot how funny it was  BUT CAN'T SLEEP THOUGH grrrrr",1
800274,"@landrew Hehe, thanks   Was going for the incendiary headline this time ",1
800275,@honeytech Happy Morning! ,1
800276,"@SashaKane Um, my kids get up at 5am &amp; need their breakfasts cooked, you ready? ",1
800277,@saad_83 I wasn't late  I was right on time,1
800278,@myk14 Thanks buddy *high fives* hehe ,1
800279,@sytycda Could not agree more!The unison&amp; committment was incredible.Considering the pressure they r under made it all the more amazing ,1
800280,"@cityrat59 lol! you counted 15 times! Yeah, it was a drag today...wasn't sure if my tweets were going out. seems to behave now though ",1
800281,@comeagainjen http://twitpic.com/2y2lx - and you are cooler than her she just wants the babiiesss O_O HAHAHAHA ,1
800282,@reesh heyyyyyy want to hook it up!! lol ,1
800283,Saddle Ranch Comedy night. Then back to the boy's house ,1
800284,Today I performed for the first and last time at the Grebel talent show. 4 exams left until undergrad is over ,1
800285,@xShorty4Lifex white!! ,1
800286,"@thesouthernstar haha... sarapan aja belum kok, udah disamperin sama client di rumah...  ",1
800287,@JonathanRKnight  i do embrace the simple life.  simple things like a new kids reunion makes me an extremely happy girl ,1
800288,"@lapcat Need to send 'em to my accountant tomorrow. Oddly, I wasn't even referring to my taxes. Those are supporting evidence, though. ",1
800289,"@mmcallen Sigh, wish I could have a GMIC meeting here in San Diego! Spoke to Johanna already, she said it was great... ",1
800290,had a wonderful Portland evening! Thanks Carrie ,1
800291,6:37 in the morning and haven't been sleep   YAY!,1
800292,Headed off to Wal*Mart for more boxes. Uber excited ,1
800293,@axisportals scowls are a lot more temporary than adulthood ,1
800294,I'm melting. *sighs* Serendipity is such a sweet sweet movie. I love it. ,1
800295,@JonathanRKnight wake up with ah Jon tweet. The Best start for my day  thx Jon love You,1
800296,Got an inspiration -&gt; dyeing my hair! ,1
800297,just  created this account...looking around ,1
800298,@amyg0716 I'm gunnna do both of those things ,1
800299,"http://twitpic.com/2y2tq - So far, it is interesting. ",1
800300,"Haven't tweeted nearly all day  Posted my website tonight, hopefully that goes well  Night time!",1
800301,"@craigsutton     that's a long-time, good for you!   ",1
800302,(@thuquoc) jizzin' in my pants excited about seeing ARMIN VAN BUUREN tomorrow ,1
800303,"@mehulbhuva Good luck, and let me know how it goes! ",1
800304,"@tayswift Congrats from Peru! You were/are amazing! i was speechless,thank u so much! come here someday plz, ill wait forever seriously! ",1
800305,@rogieking Congrats on the newborn! Our first is due in June ,1
800306,Dodgers beat the Padres  Go Blue!,1
800307,@jbruin lol esp when your updates hit my phone... ,1
800308,@JonathanRKnight I'm just glad you appreciate Iowa.    Come back in late summer when they're cutting hay...  best..smell.. EVER!,1
800309,"@pjaficionado  Having fun, loving life, happy to be in the game. Everything else is a bonus. Not just BS either!",1
800310,@vuittonretarded  awww. Is there anything i can do ,1
800311,But I do not mind.  Goodnight,1
800312,@mistressathenax oh lets let it be a surprise. ,1
800313,Proud future member of the R.B. ,1
800314,@miss_tattoo heyy!  you got those pictures of Donnie's gift on the USB stick?! ,1
800315,Giant Drag &quot;Wicked Game&quot; ? http://twt.fm/32811 #musicmonday - Better than the original &amp; the commercial promo song for Nip/Tuck season 5! ,1
800316,@web20classroom Fabulous post about WordAhead!  And overall loved your blog.,1
800317,Much Luv to @espressowoman54 &amp; @tommyruffin who's now following me on twitter!! ,1
800318,@KendallMassey @jclayville rocks. But don't tell her I said that ,1
800319,"@Gerry_Butler If it's something you will enjoy and will make you happy, why not do it? ",1
800320,"just discovered tonight that her church is serving breakfast on Easter!  (I'm not sure why this is so exciting, but I suspect the baby...)",1
800321,@Tiandrance ,1
800322,@yoavsegal Morning ,1
800323,finally back on twitter ,1
800324,God sho love him some me  feeling really really blessed tonight++++++,1
800325,@adamdexter i can't wait to see you buddy ,1
800326,@allan_at_rogue thanks Allan! They are photos from a Joolz Soiree I held up in Brisbane last year ,1
